title,tag,info,comments,content
紫与黑,豆瓣图书标签: 奇幻,[英] K.J.帕克 / 沈恺宇 等 / 四川科学技术出版社 / 2020-4 / 69.00元,(1355人评价),"收录了作者K.J.帕克的八篇中短篇小说：《紫与黑》《蓝与金》《以爱之名》《借人以图》《胜者恒强》《婴儿与洗澡水》《艺术家的肖像》《最熟悉的魔鬼》
《紫与黑》..."
永泊镇·烟与影的追猎者,豆瓣图书标签: 奇幻,[澳]杰西卡·汤森 著 / 吴华 / 中信出版社 / 2022-5,(78人评价),茉莉安是大狼邦记录在册的被诅咒儿童，是人人避之不及的噩运之源。直到一个自称朱庇特的神秘男子，带她逃离了烟影追猎者的捕杀，来到了充满魔法与奇迹的城市永泊镇。在...
浴紫而生,豆瓣图书标签: 奇幻,K.J.帕克 / 梁爽 等 / 四川科学技术出版社 / 2021-11 / 74.00元,(138人评价),《浴紫而生》一共收录了九篇K.J.帕克的故事，它们之间相互独立，同时又共享一个世界设定，如果仔细看，就能发现千丝万缕的联系。这是作家才能提供的阅读体验：一边...
サマータイムレンダ 13,豆瓣图书标签: 奇幻,田中靖規 / 集英社 / 2021-4-2 / JPY 693,(308人评价),シデを追い、ハイネの故郷へと足を踏み入れた慎平。シデの望むエンディングを阻止するため、ウシオ、「波稲」と共に最後の戦いへ挑む。果たして、結末は…!? ひと夏...
高能预警,豆瓣图书标签: 奇幻,[英] 尼尔·盖曼 / 王爽 / 江苏凤凰文艺出版社 / 2022-2-9 / 48,(576人评价),"辑推荐
◆这次看得后背发凉的同时，原始的人性再次一览无遗。
◆《高能预警》是《烟与镜》《美国众神》作者尼尔·盖曼后背发凉短篇集。2015年Goodreads..."
死灵之书,豆瓣图书标签: 奇幻,[美] H.P.洛夫克拉夫特、[英] 莱斯·爱德华兹 绘 / 竹子、Setarium、臧舟、敬雁飞、令有时、战樱、张琦 / 北京时代华文书局 / 2018-7 / 198.00元,(2347人评价),"※ H.P.洛夫克拉夫特小说全集震撼来袭，国内仅此一版！
※ 独家收录履获国际大奖的恐怖奇幻插画艺术大师赖斯•爱德华兹多达50幅的高清插画，中文世界独*家引..."
美国众神,豆瓣图书标签: 奇幻,[英] 尼尔·盖曼 / 戚林 / 北京联合出版公司 / 2017-4 / 69.90元,(9972人评价),"你崇拜什么，你就是什么。
-----------------
奥丁、洛奇、安纳西……古老的神明们其实一直居住在美国，以人的姿态生活在我们身边，但他们失去了人..."
莫言的奇奇怪怪故事集,豆瓣图书标签: 奇幻,莫言 / 江苏凤凰文艺出版社 / 2022-3-21 / 59.9,(878人评价),"或许只有莫言这么大的脑洞，才能带你去人性深幽处探险！
莫言亲自参与编选的中短篇集，收录莫言笔下最奇怪的18篇故事！本书充满了瑰丽的想象，读来仿佛在听爷爷奶奶..."
奇风岁月,豆瓣图书标签: 奇幻,[美国] 罗伯特·麦卡蒙 / 陈宗琛 / 译林出版社 / 2011-5 / 36.00元,(10673人评价),奇风镇是一座宁静的南方小镇。十二岁的科里最亲的兄弟是一只叫“叛徒”的小狗。而他形影不离的伙伴，是一辆叫“火箭”的脚踏车。每到夏季开始的那一天，他总是骑着“火...
献给阿尔吉侬的花束,豆瓣图书标签: 奇幻,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,(64207人评价),"很多人都笑我。但他们是我的朋友我们都很快乐。
—	以《献给阿尔吉侬的花束》原著改编，野岛伸司编剧、山下智久主演的TBS日剧于2015年春季开播
—	《24个..."
